Nome,Nota,Link
Fogo na Planície,Nota: 3 estrelas,https://filmow.com/fogo-na-planicie-t37039/
Namorados para Sempre,Nota: 2.5 estrelas,https://filmow.com/namorados-para-sempre-t15562/
20 Dias em Mariupol,Nota: 4 estrelas,https://filmow.com/20-dias-em-mariupol-t364611/
Clube dos Vândalos,Nota: 3 estrelas,https://filmow.com/clube-dos-vandalos-t346349/
Exhuma,Nota: 3 estrelas,https://filmow.com/exhuma-t322551/
Twister,Nota: 3 estrelas,https://filmow.com/twister-t1144/
O Exército das Sombras,Nota: 5 estrelas,https://filmow.com/o-exercito-das-sombras-t12315/
Um Lugar Silencioso: Dia Um,Nota: 3.5 estrelas,https://filmow.com/um-lugar-silencioso-dia-um-t293996/
What You Wish For,Nota: 4 estrelas,https://filmow.com/what-you-wish-for-t373460/
Operação Final,Nota: 3 estrelas,https://filmow.com/operacao-final-t201730/
O Mal Que Nos Habita,Nota: 3.5 estrelas,https://filmow.com/o-mal-que-nos-habita-t350662/
O Samurai,Nota: 4 estrelas,https://filmow.com/o-samurai-t12277/
Parceiros da Noite,Nota: 4 estrelas,https://filmow.com/parceiros-da-noite-t12100/
Fuga,Nota: 2.5 estrelas,https://filmow.com/fuga-t17060/
A Batalha de Argel,Nota: 5 estrelas,https://filmow.com/a-batalha-de-argel-t4097/
1900,Nota: 3.5 estrelas,https://filmow.com/1900-t4072/
Fúria Primitiva,Nota: 3.5 estrelas,https://filmow.com/furia-primitiva-t266737/
Furiosa: Uma Saga Mad Max,Nota: 3.5 estrelas,https://filmow.com/furiosa-uma-saga-mad-max-t307007/
A Grande Escapada,Nota: 4.5 estrelas,https://filmow.com/a-grande-escapada-t53442/
C.R.A.Z.Y. - Loucos de Amor,Nota: 1.5 estrelas,https://filmow.com/c-r-a-z-y-loucos-de-amor-t4571/
Guerra Sem Regras,Nota: 3 estrelas,https://filmow.com/guerra-sem-regras-t359644/
A Última Parada do Arizona,Nota: 4.5 estrelas,https://filmow.com/a-ultima-parada-do-arizona-t360924/
O Desafio,Nota: 4 estrelas,https://filmow.com/o-desafio-t342849/
Instinto Materno,Nota: 4 estrelas,https://filmow.com/instinto-materno-t308006/
Ensiriados,Nota: 3.5 estrelas,https://filmow.com/ensiriados-t242508/
Love Lies Bleeding: O Amor Sangra,Nota: 2.5 estrelas,https://filmow.com/love-lies-bleeding-o-amor-sangra-t347113/
Rivais,Nota: 3 estrelas,https://filmow.com/rivais-t335284/
Todos Nós Desconhecidos,Nota: 2 estrelas,https://filmow.com/todos-nos-desconhecidos-t343256/
O Imperador do Norte,Nota: 5 estrelas,https://filmow.com/o-imperador-do-norte-t21759/
Guerra Civil,Nota: 5 estrelas,https://filmow.com/guerra-civil-t334260/
Os Colonos,Nota: 2.5 estrelas,https://filmow.com/os-colonos-t361128/
Uma Vida: A História de Nicholas Winton,Nota: 4 estrelas,https://filmow.com/uma-vida-a-historia-de-nicholas-winton-t305171/
Irmãos de Honra,Nota: 3 estrelas,https://filmow.com/irmaos-de-honra-t285573/
Duna: Parte 2,Nota: 3.5 estrelas,https://filmow.com/duna-parte-2-t276096/
Assembléia – Sangue e Honra,Nota: 3 estrelas,https://filmow.com/assembleia-sangue-e-honra-t6812/
AK-47 - A Arma Que Mudou o Mundo,Nota: 3.5 estrelas,https://filmow.com/ak-47-a-arma-que-mudou-o-mundo-t294804/
O Próprio Enterro,Nota: 4 estrelas,https://filmow.com/o-proprio-enterro-t308907/
Indiana Jones e a Relíquia do Destino,Nota: 2.5 estrelas,https://filmow.com/indiana-jones-e-a-reliquia-do-destino-t46579/
Por Ordem da Cosa Nostra,Nota: 4 estrelas,https://filmow.com/por-ordem-da-cosa-nostra-t48932/
A 200 Metros,Nota: 3 estrelas,https://filmow.com/a-200-metros-t311286/
Rotting in the Sun,Nota: 3.5 estrelas,https://filmow.com/rotting-in-the-sun-t359804/
Missão: Impossível - Acerto de Contas Parte 1,Nota: 3.5 estrelas,https://filmow.com/missao-impossivel-acerto-de-contas-parte-1-t261509/
Ferrari,Nota: 3.5 estrelas,https://filmow.com/ferrari-t122019/
Garra de Ferro,Nota: 4 estrelas,https://filmow.com/garra-de-ferro-t341909/
Pobres Criaturas,Nota: 3 estrelas,https://filmow.com/pobres-criaturas-t313936/
Monstro,Nota: 1.5 estrelas,https://filmow.com/monstro-t349593/
"Eu, Capitão",Nota: 5 estrelas,https://filmow.com/eu-capitao-t362092/
Uma Lição de Esperança,Nota: 3.5 estrelas,https://filmow.com/uma-licao-de-esperanca-t290802/
Viver e Morrer em Los Angeles,Nota: 3 estrelas,https://filmow.com/viver-e-morrer-em-los-angeles-t1199/
Remando para o Ouro,Nota: 3.5 estrelas,https://filmow.com/remando-para-o-ouro-t261352/
A Cor Púrpura,Nota: 1 estrela,https://filmow.com/a-cor-purpura-t266975/
Zona de Interesse,Nota: 3 estrelas,https://filmow.com/zona-de-interesse-t359101/
Sobreviventes: Depois do Terremoto,Nota: 3 estrelas,https://filmow.com/sobreviventes-depois-do-terremoto-t304845/
Folhas de Outono,Nota: 1.5 estrelas,https://filmow.com/folhas-de-outono-t358648/
Os Rejeitados,Nota: 5 estrelas,https://filmow.com/os-rejeitados-t356358/
A Sociedade da Neve,Nota: 4 estrelas,https://filmow.com/a-sociedade-da-neve-t351066/
NYAD,Nota: 3 estrelas,https://filmow.com/nyad-t355976/
O Diabo de Cada Dia,Nota: 2.5 estrelas,https://filmow.com/o-diabo-de-cada-dia-t261497/
O Bastardo,,https://filmow.com/o-bastardo-t346736/
Belas Criaturas,Nota: 2.5 estrelas,https://filmow.com/belas-criaturas-t337156/
How to Have Sex,Nota: 3 estrelas,https://filmow.com/how-to-have-sex-t359332/
O Silêncio da Vingança,Nota: 2 estrelas,https://filmow.com/o-silencio-da-vinganca-t340198/
Os Tradutores,Nota: 3 estrelas,https://filmow.com/os-tradutores-t251190/
Horizonte Profundo: Desastre no Golfo,Nota: 3 estrelas,https://filmow.com/horizonte-profundo-desastre-no-golfo-t109493/
Anatomia de uma Queda,Nota: 5 estrelas,https://filmow.com/anatomia-de-uma-queda-t359105/
Maestro,Nota: 3 estrelas,https://filmow.com/maestro-t259237/
O Sequestro do Voo 375,Nota: 5 estrelas,https://filmow.com/o-sequestro-do-voo-375-t305367/
O Grande Desafio,Nota: 5 estrelas,https://filmow.com/o-grande-desafio-t7592/
Um Instante de Amor,Nota: 2 estrelas,https://filmow.com/um-instante-de-amor-t101011/
Napoleão,Nota: 3.5 estrelas,https://filmow.com/napoleao-t336144/
Bagdad Café,Nota: 3 estrelas,https://filmow.com/bagdad-cafe-t2283/
Tiranossauro,Nota: 2 estrelas,https://filmow.com/tiranossauro-t39519/
Mártires,Nota: 0.5 estrela,https://filmow.com/martires-t8994/
"Bela Aldeia, Bela Chama",Nota: 3 estrelas,https://filmow.com/bela-aldeia-bela-chama-t12733/
Quando o Sábado Chega,Nota: 4 estrelas,https://filmow.com/quando-o-sabado-chega-t62152/
Tomboy,Nota: 2.5 estrelas,https://filmow.com/tomboy-t40378/
Uma Longa Viagem,Nota: 2.5 estrelas,https://filmow.com/uma-longa-viagem-t49891/
Children...,Nota: 3 estrelas,https://filmow.com/children-t44239/
"Profissão, Ladrão",Nota: 3 estrelas,https://filmow.com/profissao-ladrao-t6048/
O Assassino,Nota: 3.5 estrelas,https://filmow.com/o-assassino-t315904/
Assassinos da Lua das Flores,Nota: 5 estrelas,https://filmow.com/assassinos-da-lua-das-flores-t202715/
Filhos de Gaza,Nota: 5 estrelas,https://filmow.com/filhos-de-gaza-t275152/
Terra de Ninguém,Nota: 5 estrelas,https://filmow.com/terra-de-ninguem-t8241/
O Óleo de Lorenzo,Nota: 4 estrelas,https://filmow.com/o-oleo-de-lorenzo-t5725/
The Last Days,Nota: 5 estrelas,https://filmow.com/the-last-days-t4041/
Victoria,Nota: 3 estrelas,https://filmow.com/victoria-t117522/
Tartarugas Podem Voar,Nota: 5 estrelas,https://filmow.com/tartarugas-podem-voar-t6293/
A Batalha por Haditha,Nota: 3 estrelas,https://filmow.com/a-batalha-por-haditha-t20429/
Amor e Ódio,Nota: 3.5 estrelas,https://filmow.com/amor-e-odio-t27886/
Operação França,Nota: 4 estrelas,https://filmow.com/operacao-franca-t870/
A Disputa,Nota: 4 estrelas,https://filmow.com/a-disputa-t338362/
A Cura,Nota: 3.5 estrelas,https://filmow.com/a-cura-t7459/
Órfãos da Guerra,Nota: 3 estrelas,https://filmow.com/orfaos-da-guerra-t16703/
Três Enterros,Nota: 3.5 estrelas,https://filmow.com/tres-enterros-t1726/
Os Eleitos: Onde o Futuro Começa,Nota: 4 estrelas,https://filmow.com/os-eleitos-onde-o-futuro-comeca-t5904/
Vidas Passadas,Nota: 3.5 estrelas,https://filmow.com/vidas-passadas-t325956/
Que Horas Eu Te Pego?,Nota: 0.5 estrela,https://filmow.com/que-horas-eu-te-pego-t343370/
Oppenheimer,Nota: 4 estrelas,https://filmow.com/oppenheimer-t328210/
Barbie,Nota: 3.5 estrelas,https://filmow.com/barbie-t98448/
As Nadadoras,Nota: 3 estrelas,https://filmow.com/as-nadadoras-t345994/
El Camino: Um Filme de Breaking Bad,Nota: 3 estrelas,https://filmow.com/el-camino-um-filme-de-breaking-bad-t267169/
Depois de Horas,Nota: 3.5 estrelas,https://filmow.com/depois-de-horas-t2489/
Anônima - Uma Mulher em Berlim,Nota: 3 estrelas,https://filmow.com/anonima-uma-mulher-em-berlim-t14986/
BlackBerry,Nota: 2.5 estrelas,https://filmow.com/blackberry-t354461/
AIR: A História Por Trás do Logo,Nota: 4 estrelas,https://filmow.com/air-a-historia-por-tras-do-logo-t347345/
Elefante,Nota: 3 estrelas,https://filmow.com/elefante-t4900/
Red: Crescer é uma Fera,Nota: 2 estrelas,https://filmow.com/red-crescer-e-uma-fera-t310812/
Burning Days,Nota: 3 estrelas,https://filmow.com/burning-days-t346949/
Em Nome do Pai,Nota: 3 estrelas,https://filmow.com/em-nome-do-pai-t7726/
Meu Pé Esquerdo,Nota: 3.5 estrelas,https://filmow.com/meu-pe-esquerdo-t1857/
O Pacto,Nota: 4 estrelas,https://filmow.com/o-pacto-t336215/
Capote,Nota: 4 estrelas,https://filmow.com/capote-t1787/
O Expresso da Meia-Noite,Nota: 4 estrelas,https://filmow.com/o-expresso-da-meia-noite-t1890/
Tora! Tora! Tora!,Nota: 3.5 estrelas,https://filmow.com/tora-tora-tora-t9118/
Pânico 2,Nota: 2 estrelas,https://filmow.com/panico-2-t6914/
John Wick 4: Baba Yaga,Nota: 5 estrelas,https://filmow.com/john-wick-4-baba-yaga-t277017/
Tetris,Nota: 4.5 estrelas,https://filmow.com/tetris-t309500/
Holy Spider,Nota: 4 estrelas,https://filmow.com/holy-spider-t340150/
Creed III,Nota: 3 estrelas,https://filmow.com/creed-iii-t292879/
Close,Nota: 4.5 estrelas,https://filmow.com/close-t340163/
A Baleia,Nota: 4.5 estrelas,https://filmow.com/a-baleia-t311895/
Unrelated,Nota: 1.5 estrelas,https://filmow.com/unrelated-t47400/
Os Fabelmans,Nota: 4 estrelas,https://filmow.com/os-fabelmans-t316806/
Solitários,Nota: 2.5 estrelas,https://filmow.com/solitarios-t318941/
Os Donos da Noite,Nota: 3 estrelas,https://filmow.com/os-donos-da-noite-t5901/
O País de Charlie,Nota: 3 estrelas,https://filmow.com/o-pais-de-charlie-t98108/
Os Infelizes,Nota: 3 estrelas,https://filmow.com/os-infelizes-t11561/
Mil Vezes Boa Noite,Nota: 5 estrelas,https://filmow.com/mil-vezes-boa-noite-t72453/
Orgulho e Esperança,Nota: 5 estrelas,https://filmow.com/orgulho-e-esperanca-t88999/
O Oficial e o Espião,Nota: 2.5 estrelas,https://filmow.com/o-oficial-e-o-espiao-t58930/
O Menu,Nota: 2.5 estrelas,https://filmow.com/o-menu-t256969/
Força Maior,Nota: 2 estrelas,https://filmow.com/forca-maior-t91835/
Um Mundo Perfeito,Nota: 3.5 estrelas,https://filmow.com/um-mundo-perfeito-t6421/
Tempo de Cavalos Bêbados,Nota: 3.5 estrelas,https://filmow.com/tempo-de-cavalos-bebados-t6299/
Onde Fica a Casa do Meu Amigo?,Nota: 4 estrelas,https://filmow.com/onde-fica-a-casa-do-meu-amigo-t9006/
Bala na Cabeça,Nota: 2.5 estrelas,https://filmow.com/bala-na-cabeca-t12275/
Marte Um,Nota: 2 estrelas,https://filmow.com/marte-um-t333818/
Armageddon Time,Nota: 1.5 estrelas,https://filmow.com/armageddon-time-t297787/
Os Piratas da Somália,Nota: 2 estrelas,https://filmow.com/os-piratas-da-somalia-t200807/
Um Grande Plano,Nota: 2.5 estrelas,https://filmow.com/um-grande-plano-t204273/
O Insulto,Nota: 4 estrelas,https://filmow.com/o-insulto-t228912/
O Conformista,Nota: 2.5 estrelas,https://filmow.com/o-conformista-t5586/
Faça a Coisa Certa,Nota: 3 estrelas,https://filmow.com/faca-a-coisa-certa-t2638/
Jogada Decisiva,Nota: 4 estrelas,https://filmow.com/jogada-decisiva-t15277/
Megan Leavey,Nota: 2.5 estrelas,https://filmow.com/megan-leavey-t129478/
Você Não Conhece o Jack,Nota: 4.5 estrelas,https://filmow.com/voce-nao-conhece-o-jack-t19123/
Contato,Nota: 2.5 estrelas,https://filmow.com/contato-t4708/
A Nossos Amores,Nota: 2 estrelas,https://filmow.com/a-nossos-amores-t25784/
Justiça Brutal,Nota: 3 estrelas,https://filmow.com/justica-brutal-t229009/
Mar Sangrento,Nota: 3 estrelas,https://filmow.com/mar-sangrento-t40784/
Mandela - A Luta pela Liberdade,Nota: 3 estrelas,https://filmow.com/mandela-a-luta-pela-liberdade-t1850/
Quando os Bravos se Calam,Nota: 3.5 estrelas,https://filmow.com/quando-os-bravos-se-calam-t26093/
Os Gritos do Silêncio,Nota: 3 estrelas,https://filmow.com/os-gritos-do-silencio-t5914/
Emancipation - Uma História de Liberdade,Nota: 2.5 estrelas,https://filmow.com/emancipation-uma-historia-de-liberdade-t300236/
Tár,Nota: 2 estrelas,https://filmow.com/tar-t318962/
Great Freedom,Nota: 1 estrela,https://filmow.com/great-freedom-t325866/
A Informante,Nota: 4 estrelas,https://filmow.com/a-informante-t38408/
Violência Gratuita,Nota: 3 estrelas,https://filmow.com/violencia-gratuita-t8278/
O Soldado Desconhecido,Nota: 3 estrelas,https://filmow.com/o-soldado-desconhecido-t208003/
Fuga de Sobibor,Nota: 4 estrelas,https://filmow.com/fuga-de-sobibor-t9548/
U-571: A Batalha do Atlântico,Nota: 3.5 estrelas,https://filmow.com/u-571-a-batalha-do-atlantico-t1145/
Códigos de Guerra,Nota: 2.5 estrelas,https://filmow.com/codigos-de-guerra-t323/
Prova de Fogo,Nota: 4 estrelas,https://filmow.com/prova-de-fogo-t47349/
No Limite - A História de Ernie Davis,Nota: 4 estrelas,https://filmow.com/no-limite-a-historia-de-ernie-davis-t9023/
Na Escuridão,Nota: 3 estrelas,https://filmow.com/na-escuridao-t51186/
A Batalha de Passchendaele,Nota: 2.5 estrelas,https://filmow.com/a-batalha-de-passchendaele-t13635/
Meu Policial,Nota: 2.5 estrelas,https://filmow.com/meu-policial-t305586/
Um Sinal de Esperança,Nota: 3 estrelas,https://filmow.com/um-sinal-de-esperanca-t3747/
Nitram,Nota: 2.5 estrelas,https://filmow.com/nitram-t310149/
"Argentina, 1985",Nota: 5 estrelas,https://filmow.com/argentina-1985-t332961/
Noites Brutais,Nota: 2.5 estrelas,https://filmow.com/noites-brutais-t339421/
Tudo em Todo O Lugar ao Mesmo Tempo,Nota: 2 estrelas,https://filmow.com/tudo-em-todo-o-lugar-ao-mesmo-tempo-t290814/
A Grande Jogada,Nota: 3 estrelas,https://filmow.com/a-grande-jogada-t198229/
A Conferência,Nota: 4.5 estrelas,https://filmow.com/a-conferencia-t347782/
O Roubo do Século,Nota: 4 estrelas,https://filmow.com/o-roubo-do-seculo-t290833/
A Queda,Nota: 2.5 estrelas,https://filmow.com/a-queda-t342609/
O Ódio,Nota: 3 estrelas,https://filmow.com/o-odio-t8384/
Weird: The Al Yankovic Story,Nota: 0.5 estrela,https://filmow.com/weird-the-al-yankovic-story-t340281/
Operação Cerveja,Nota: 4 estrelas,https://filmow.com/operacao-cerveja-t276171/
The Untold Story,Nota: 3.5 estrelas,https://filmow.com/the-untold-story-t37752/
"Não Se Preocupe, Querida",Nota: 2.5 estrelas,https://filmow.com/nao-se-preocupe-querida-t281511/
Pearl,Nota: 3 estrelas,https://filmow.com/pearl-t343849/
Nada de Novo no Front,Nota: 4 estrelas,https://filmow.com/nada-de-novo-no-front-t207892/
A Fera do Mar,Nota: 3 estrelas,https://filmow.com/a-fera-do-mar-t267052/
O Mentiroso,Nota: 3 estrelas,https://filmow.com/o-mentiroso-t6643/
The Normal Heart,Nota: 4 estrelas,https://filmow.com/the-normal-heart-t24697/
Athena,Nota: 4 estrelas,https://filmow.com/athena-t347060/
Morte Morte Morte,Nota: 2 estrelas,https://filmow.com/morte-morte-morte-t251780/
Beats,Nota: 3 estrelas,https://filmow.com/beats-t258052/
Kubo e as Cordas Mágicas,Nota: 3 estrelas,https://filmow.com/kubo-e-as-cordas-magicas-t113787/
Trem-Bala,Nota: 3 estrelas,https://filmow.com/trem-bala-t301482/
Blonde,Nota: 1 estrela,https://filmow.com/blonde-t76324/
Não Fale o Mal,Nota: 2.5 estrelas,https://filmow.com/nao-fale-o-mal-t300070/
Vingança,Nota: 3.5 estrelas,https://filmow.com/vinganca-t294128/
"Adeus, Lenin!",Nota: 4 estrelas,https://filmow.com/adeus-lenin-t2139/
Febre de Bola,Nota: 2.5 estrelas,https://filmow.com/febre-de-bola-t30027/
A Testemunha,Nota: 3.5 estrelas,https://filmow.com/a-testemunha-t262703/
Top Gun: Maverick,Nota: 4.5 estrelas,https://filmow.com/top-gun-maverick-t27835/
Guerra e Ódio,Nota: 3 estrelas,https://filmow.com/guerra-e-odio-t218100/
Treze Vidas: O Resgate,Nota: 4 estrelas,https://filmow.com/treze-vidas-o-resgate-t316914/
Elvis,Nota: 3 estrelas,https://filmow.com/elvis-t274900/
Onoda: 10 Mil Noites na Selva,Nota: 3 estrelas,https://filmow.com/onoda-10-mil-noites-na-selva-t325926/
Sunshine: O Despertar de um Século,Nota: 2.5 estrelas,https://filmow.com/sunshine-o-despertar-de-um-seculo-t6280/
Batman,Nota: 3.5 estrelas,https://filmow.com/batman-t101503/
Fuga de Pretória,Nota: 4 estrelas,https://filmow.com/fuga-de-pretoria-t234749/
Fora do Jogo,Nota: 4 estrelas,https://filmow.com/fora-do-jogo-t18349/
A Bela e os Cães,Nota: 5 estrelas,https://filmow.com/a-bela-e-os-caes-t227402/
O Trem,Nota: 5 estrelas,https://filmow.com/o-trem-t14794/
I Am a Hero,Nota: 3.5 estrelas,https://filmow.com/i-am-a-hero-t193364/
Donbass,Nota: 2.5 estrelas,https://filmow.com/donbass-t256254/
Os 800,Nota: 3 estrelas,https://filmow.com/os-800-t278431/
O Apedrejamento de Soraya M.,Nota: 5 estrelas,https://filmow.com/o-apedrejamento-de-soraya-m-t21074/
On the Count of Three,Nota: 3.5 estrelas,https://filmow.com/on-the-count-of-three-t287776/
Cha Cha Real Smooth - O Próximo Passo,Nota: 2.5 estrelas,https://filmow.com/cha-cha-real-smooth-o-proximo-passo-t316976/
Eclipse Total,Nota: 3 estrelas,https://filmow.com/eclipse-total-t8167/
"Bang, Bang! Você Morreu!",Nota: 3.5 estrelas,https://filmow.com/bang-bang-voce-morreu-t8106/
May 18,Nota: 3 estrelas,https://filmow.com/may-18-t35916/
Luta Por Justiça,Nota: 5 estrelas,https://filmow.com/luta-por-justica-t245994/
Maré Vermelha,Nota: 5 estrelas,https://filmow.com/mare-vermelha-t654/
O 12º Homem,Nota: 4 estrelas,https://filmow.com/o-12o-homem-t207354/
Kursk: A Última Missão,Nota: 4 estrelas,https://filmow.com/kursk-a-ultima-missao-t192090/
John Rabe: O Negociador,Nota: 3 estrelas,https://filmow.com/john-rabe-o-negociador-t22218/
Arremessando Alto,Nota: 4 estrelas,https://filmow.com/arremessando-alto-t335857/
Magnatas do Crime,Nota: 3.5 estrelas,https://filmow.com/magnatas-do-crime-t265680/
Candy,Nota: 4 estrelas,https://filmow.com/candy-t4594/
X: A Marca da Morte,Nota: 3 estrelas,https://filmow.com/x-a-marca-da-morte-t308338/
Skinheads: A Força Branca,Nota: 3 estrelas,https://filmow.com/skinheads-a-forca-branca-t8676/
O Alfaiate,Nota: 3.5 estrelas,https://filmow.com/o-alfaiate-t315807/
O Homem do Norte,Nota: 4 estrelas,https://filmow.com/o-homem-do-norte-t286143/
Animais Fantásticos e Onde Habitam,Nota: 3.5 estrelas,https://filmow.com/animais-fantasticos-e-onde-habitam-t85764/
"Jackass, Cara-de-Pau: Volume 2",Nota: 4 estrelas,https://filmow.com/jackass-cara-de-pau-volume-2-t27383/
